department,funding,year,gdp,funding_gdp_ratio,total_funding
DOC,819000000.0,1976,1790000000000.0,0.0004575418994413408,86227000000.0
DOD,35696000000.0,1976,1790000000000.0,0.019941899441340782,86227000000.0
DOE,10882000000.0,1976,1790000000000.0,0.006079329608938548,86227000000.0
DOT,1142000000.0,1976,1790000000000.0,0.0006379888268156425,86227000000.0
EPA,968000000.0,1976,1790000000000.0,0.0005407821229050279,86227000000.0
HHS,9226000000.0,1976,1790000000000.0,0.005154189944134078,86227000000.0
Interior,1152000000.0,1976,1790000000000.0,0.0006435754189944135,86227000000.0
NASA,12513000000.0,1976,1790000000000.0,0.006990502793296089,86227000000.0
NIH,8025000000.0,1976,1790000000000.0,0.004483240223463687,86227000000.0
NSF,2372000000.0,1976,1790000000000.0,0.0013251396648044692,86227000000.0
Other,1191000000.0,1976,1790000000000.0,0.0006653631284916201,86227000000.0
USDA,1837000000.0,1976,1790000000000.0,0.0010262569832402235,86227000000.0
VA,404000000.0,1976,1790000000000.0,0.00022569832402234637,86227000000.0
DOC,837000000.0,1977,2028000000000.0,0.00041272189349112425,91807000000.0
DOD,37967000000.0,1977,2028000000000.0,0.018721400394477318,91807000000.0
DOE,13741000000.0,1977,2028000000000.0,0.0067756410256410255,91807000000.0
DOT,1095000000.0,1977,2028000000000.0,0.0005399408284023668,91807000000.0
EPA,966000000.0,1977,2028000000000.0,0.00047633136094674556,91807000000.0
HHS,9507000000.0,1977,2028000000000.0,0.0046878698224852074,91807000000.0
Interior,1082000000.0,1977,2028000000000.0,0.0005335305719921104,91807000000.0
NASA,12553000000.0,1977,2028000000000.0,0.006189842209072979,91807000000.0
NIH,8214000000.0,1977,2028000000000.0,0.0040502958579881655,91807000000.0
NSF,2395000000.0,1977,2028000000000.0,0.0011809664694280078,91807000000.0
Other,1280000000.0,1977,2028000000000.0,0.000631163708086785,91807000000.0
USDA,1796000000.0,1977,2028000000000.0,0.0008856015779092702,91807000000.0
VA,374000000.0,1977,2028000000000.0,0.0001844181459566075,91807000000.0
DOC,871000000.0,1978,2278000000000.0,0.0003823529411764706,94864000000.0
DOD,37022000000.0,1978,2278000000000.0,0.016251975417032483,94864000000.0
DOE,15663000000.0,1978,2278000000000.0,0.006875768217734855,94864000000.0
DOT,1156000000.0,1978,2278000000000.0,0.0005074626865671642,94864000000.0
EPA,1175000000.0,1978,2278000000000.0,0.000515803336259877,94864000000.0
HHS,10533000000.0,1978,2278000000000.0,0.0046237928007023706,94864000000.0
Interior,1125000000.0,1978,2278000000000.0,0.000493854258121159,94864000000.0
NASA,12516000000.0,1978,2278000000000.0,0.005494293239683933,94864000000.0
NIH,8802000000.0,1978,2278000000000.0,0.0038639157155399475,94864000000.0
NSF,2446000000.0,1978,2278000000000.0,0.001073748902546093,94864000000.0
Other,1237000000.0,1978,2278000000000.0,0.0005430201931518877,94864000000.0
USDA,1962000000.0,1978,2278000000000.0,0.0008612818261633012,94864000000.0
VA,356000000.0,1978,2278000000000.0,0.0001562774363476734,94864000000.0
DOC,952000000.0,1979,2570000000000.0,0.00037042801556420234,96601000000.0
DOD,37174000000.0,1979,2570000000000.0,0.014464591439688717,96601000000.0
DOE,15612000000.0,1979,2570000000000.0,0.006074708171206225,96601000000.0
DOT,1004000000.0,1979,2570000000000.0,0.00039066147859922177,96601000000.0
EPA,1102000000.0,1979,2570000000000.0,0.0004287937743190661,96601000000.0
HHS,10127000000.0,1979,2570000000000.0,0.003940466926070039,96601000000.0
Interior,1176000000.0,1979,2570000000000.0,0.0004575875486381323,96601000000.0
NASA,13079000000.0,1979,2570000000000.0,0.005089105058365758,96601000000.0
NIH,9243000000.0,1979,2570000000000.0,0.0035964980544747082,96601000000.0
NSF,2404000000.0,1979,2570000000000.0,0.000935408560311284,96601000000.0
Other,2321000000.0,1979,2570000000000.0,0.0009031128404669261,96601000000.0
USDA,2054000000.0,1979,2570000000000.0,0.0007992217898832685,96601000000.0
VA,353000000.0,1979,2570000000000.0,0.00013735408560311283,96601000000.0
DOC,945000000.0,1980,2797000000000.0,0.0003378619949946371,96305000000.0
DOD,37005000000.0,1980,2797000000000.0,0.013230246692885235,96305000000.0
DOE,15226000000.0,1980,2797000000000.0,0.005443689667500894,96305000000.0
DOT,1048000000.0,1980,2797000000000.0,0.0003746871648194494,96305000000.0
EPA,903000000.0,1980,2797000000000.0,0.0003228459063282088,96305000000.0
HHS,10045000000.0,1980,2797000000000.0,0.0035913478727207723,96305000000.0
Interior,1082000000.0,1980,2797000000000.0,0.00038684304612084374,96305000000.0
NASA,13837000000.0,1980,2797000000000.0,0.004947086163746872,96305000000.0
NIH,9093000000.0,1980,2797000000000.0,0.0032509831962817303,96305000000.0
NSF,2407000000.0,1980,2797000000000.0,0.0008605648909545942,96305000000.0
Other,2468000000.0,1980,2797000000000.0,0.0008823739721129782,96305000000.0
USDA,1887000000.0,1980,2797000000000.0,0.0006746514122273865,96305000000.0
VA,359000000.0,1980,2797000000000.0,0.00012835180550589917,96305000000.0
DOC,829000000.0,1981,3138000000000.0,0.00026418100701083494,98304000000.0
DOD,41737000000.0,1981,3138000000000.0,0.01330050987890376,98304000000.0
DOE,14798000000.0,1981,3138000000000.0,0.004715742511153601,98304000000.0
DOT,978000000.0,1981,3138000000000.0,0.0003116634799235182,98304000000.0
EPA,901000000.0,1981,3138000000000.0,0.000287125557680051,98304000000.0
HHS,9644000000.0,1981,3138000000000.0,0.003073295092415551,98304000000.0
Interior,990000000.0,1981,3138000000000.0,0.00031548757170172083,98304000000.0
NASA,13276000000.0,1981,3138000000000.0,0.004230720203951562,98304000000.0
NIH,8580000000.0,1981,3138000000000.0,0.002734225621414914,98304000000.0
NSF,2300000000.0,1981,3138000000000.0,0.0007329509241555131,98304000000.0
Other,1925000000.0,1981,3138000000000.0,0.0006134480560866794,98304000000.0
USDA,1964000000.0,1981,3138000000000.0,0.0006258763543658381,98304000000.0
VA,382000000.0,1981,3138000000000.0,0.00012173358827278522,98304000000.0
DOC,693000000.0,1982,3314000000000.0,0.0002091128545564273,95448000000.0
DOD,46893000000.0,1982,3314000000000.0,0.014149969824984912,95448000000.0
DOE,12160000000.0,1982,3314000000000.0,0.0036692818346409175,95448000000.0
DOT,702000000.0,1982,3314000000000.0,0.00021182860591430295,95448000000.0
EPA,641000000.0,1982,3314000000000.0,0.00019342184671092334,95448000000.0
HHS,8860000000.0,1982,3314000000000.0,0.0026735063367531683,95448000000.0
Interior,866000000.0,1982,3314000000000.0,0.00026131563065781533,95448000000.0
NASA,10322000000.0,1982,3314000000000.0,0.0031146650573325285,95448000000.0
NIH,8314000000.0,1982,3314000000000.0,0.0025087507543753774,95448000000.0
NSF,2191000000.0,1982,3314000000000.0,0.0006611345805672903,95448000000.0
Other,1626000000.0,1982,3314000000000.0,0.0004906457453228727,95448000000.0
USDA,1867000000.0,1982,3314000000000.0,0.0005633675316837659,95448000000.0
VA,313000000.0,1982,3314000000000.0,9.444779722389862e-05,95448000000.0
DOC,700000000.0,1983,3541000000000.0,0.00019768426998023158,95010000000.0
DOD,51008000000.0,1983,3541000000000.0,0.014404970347359504,95010000000.0
DOE,11129000000.0,1983,3541000000000.0,0.00314289748658571,95010000000.0
DOT,800000000.0,1983,3541000000000.0,0.00022592487997740753,95010000000.0
EPA,501000000.0,1983,3541000000000.0,0.00014148545608585146,95010000000.0
HHS,9418000000.0,1983,3541000000000.0,0.00265970064953403,95010000000.0
Interior,835000000.0,1983,3541000000000.0,0.0002358090934764191,95010000000.0
NASA,5893000000.0,1983,3541000000000.0,0.001664219147133578,95010000000.0
NIH,8733000000.0,1983,3541000000000.0,0.0024662524710533746,95010000000.0
NSF,2282000000.0,1983,3541000000000.0,0.0006444507201355549,95010000000.0
Other,1457000000.0,1983,3541000000000.0,0.00041146568765885344,95010000000.0
USDA,1907000000.0,1983,3541000000000.0,0.0005385484326461452,95010000000.0
VA,347000000.0,1983,3541000000000.0,9.799491669020051e-05,95010000000.0
DOC,755000000.0,1984,3953000000000.0,0.00019099418163420187,105371000000.0
DOD,58139000000.0,1984,3953000000000.0,0.014707563875537566,105371000000.0
DOE,11731000000.0,1984,3953000000000.0,0.0029676195294712875,105371000000.0
DOT,1018000000.0,1984,3953000000000.0,0.00025752592967366556,105371000000.0
EPA,518000000.0,1984,3953000000000.0,0.00013103971667088288,105371000000.0
HHS,10145000000.0,1984,3953000000000.0,0.002566405261826461,105371000000.0
Interior,757000000.0,1984,3953000000000.0,0.000191500126486213,105371000000.0
NASA,6231000000.0,1984,3953000000000.0,0.001576271186440678,105371000000.0
NIH,9620000000.0,1984,3953000000000.0,0.002433594738173539,105371000000.0
NSF,2597000000.0,1984,3953000000000.0,0.0006569693903364533,105371000000.0
Other,1418000000.0,1984,3953000000000.0,0.00035871490007589174,105371000000.0
USDA,2032000000.0,1984,3953000000000.0,0.0005140399696433089,105371000000.0
VA,410000000.0,1984,3953000000000.0,0.00010371869466228181,105371000000.0
DOC,789000000.0,1985,4270000000000.0,0.0001847775175644028,114818000000.0
DOD,64416000000.0,1985,4270000000000.0,0.015085714285714286,114818000000.0
DOE,12043000000.0,1985,4270000000000.0,0.0028203747072599534,114818000000.0
DOT,885000000.0,1985,4270000000000.0,0.00020725995316159252,114818000000.0
EPA,615000000.0,1985,4270000000000.0,0.00014402810304449648,114818000000.0
HHS,11083000000.0,1985,4270000000000.0,0.0025955503512880562,114818000000.0
Interior,783000000.0,1985,4270000000000.0,0.00018337236533957845,114818000000.0
NASA,7174000000.0,1985,4270000000000.0,0.0016800936768149883,114818000000.0
NIH,10606000000.0,1985,4270000000000.0,0.0024838407494145198,114818000000.0
NSF,2859000000.0,1985,4270000000000.0,0.0006695550351288056,114818000000.0
Other,1116000000.0,1985,4270000000000.0,0.0002613583138173302,114818000000.0
USDA,2018000000.0,1985,4270000000000.0,0.00047259953161592503,114818000000.0
VA,431000000.0,1985,4270000000000.0,0.0001009367681498829,114818000000.0
DOC,778000000.0,1986,4536000000000.0,0.00017151675485008817,118231000000.0
DOD,68931000000.0,1986,4536000000000.0,0.01519642857142857,118231000000.0
DOE,10911000000.0,1986,4536000000000.0,0.0024054232804232804,118231000000.0
DOT,746000000.0,1986,4536000000000.0,0.0001644620811287478,118231000000.0
EPA,637000000.0,1986,4536000000000.0,0.0001404320987654321,118231000000.0
HHS,11133000000.0,1986,4536000000000.0,0.002454365079365079,118231000000.0
Interior,755000000.0,1986,4536000000000.0,0.00016644620811287478,118231000000.0
NASA,7343000000.0,1986,4536000000000.0,0.0016188271604938272,118231000000.0
NIH,10659000000.0,1986,4536000000000.0,0.0023498677248677247,118231000000.0
NSF,2757000000.0,1986,4536000000000.0,0.0006078042328042328,118231000000.0
Other,1326000000.0,1986,4536000000000.0,0.00029232804232804234,118231000000.0
USDA,1890000000.0,1986,4536000000000.0,0.0004166666666666667,118231000000.0
VA,365000000.0,1986,4536000000000.0,8.04673721340388e-05,118231000000.0
DOC,804000000.0,1987,4782000000000.0,0.00016813048933500628,125314000000.0
DOD,71541000000.0,1987,4782000000000.0,0.01496047678795483,125314000000.0
DOE,10446000000.0,1987,4782000000000.0,0.0021844416562107906,125314000000.0
DOT,595000000.0,1987,4782000000000.0,0.0001244249268088666,125314000000.0
EPA,664000000.0,1987,4782000000000.0,0.00013885403596821413,125314000000.0
HHS,12847000000.0,1987,4782000000000.0,0.0026865328314512756,125314000000.0
Interior,786000000.0,1987,4782000000000.0,0.000164366373902133,125314000000.0
NASA,8346000000.0,1987,4782000000000.0,0.0017452948557089083,125314000000.0
NIH,12335000000.0,1987,4782000000000.0,0.0025794646591384357,125314000000.0
NSF,2942000000.0,1987,4782000000000.0,0.0006152237557507319,125314000000.0
Other,1474000000.0,1987,4782000000000.0,0.0003082392304475115,125314000000.0
USDA,2104000000.0,1987,4782000000000.0,0.00043998327059807614,125314000000.0
VA,430000000.0,1987,4782000000000.0,8.992053534086156e-05,125314000000.0
DOC,764000000.0,1988,5155000000000.0,0.00014820562560620757,126800000000.0
DOD,71145000000.0,1988,5155000000000.0,0.013801163918525703,126800000000.0
DOE,10863000000.0,1988,5155000000000.0,0.002107274490785645,126800000000.0
DOT,587000000.0,1988,5155000000000.0,0.00011387002909796314,126800000000.0
EPA,698000000.0,1988,5155000000000.0,0.00013540252182347236,126800000000.0
HHS,13470000000.0,1988,5155000000000.0,0.002612997090203686,126800000000.0
Interior,794000000.0,1988,5155000000000.0,0.00015402521823472358,126800000000.0
NASA,8746000000.0,1988,5155000000000.0,0.0016966052376333656,126800000000.0
NIH,12909000000.0,1988,5155000000000.0,0.0025041707080504364,126800000000.0
NSF,2962000000.0,1988,5155000000000.0,0.0005745877788554801,126800000000.0
Other,1409000000.0,1988,5155000000000.0,0.00027332686711930166,126800000000.0
USDA,2085000000.0,1988,5155000000000.0,0.00040446168768186225,126800000000.0
VA,368000000.0,1988,5155000000000.0,7.138700290979632e-05,126800000000.0
DOC,766000000.0,1989,5570000000000.0,0.00013752244165170555,128912000000.0
DOD,69231000000.0,1989,5570000000000.0,0.012429263913824058,128912000000.0
DOE,11225000000.0,1989,5570000000000.0,0.0020152603231597846,128912000000.0
DOT,586000000.0,1989,5570000000000.0,0.0001052064631956912,128912000000.0
EPA,713000000.0,1989,5570000000000.0,0.0001280071813285458,128912000000.0
HHS,14291000000.0,1989,5570000000000.0,0.0025657091561938957,128912000000.0
Interior,861000000.0,1989,5570000000000.0,0.00015457809694793538,128912000000.0
NASA,10623000000.0,1989,5570000000000.0,0.001907181328545781,128912000000.0
NIH,13550000000.0,1989,5570000000000.0,0.0024326750448833033,128912000000.0
NSF,3162000000.0,1989,5570000000000.0,0.0005676840215439856,128912000000.0
Other,1469000000.0,1989,5570000000000.0,0.00026373429084380613,128912000000.0
USDA,2044000000.0,1989,5570000000000.0,0.00036696588868940757,128912000000.0
VA,391000000.0,1989,5570000000000.0,7.019748653500898e-05,128912000000.0
DOC,784000000.0,1990,5915000000000.0,0.00013254437869822486,129126000000.0
DOD,65589000000.0,1990,5915000000000.0,0.01108858833474218,129126000000.0
DOE,12103000000.0,1990,5915000000000.0,0.002046153846153846,129126000000.0
DOT,613000000.0,1990,5915000000000.0,0.00010363482671174979,129126000000.0
EPA,735000000.0,1990,5915000000000.0,0.0001242603550295858,129126000000.0
HHS,14779000000.0,1990,5915000000000.0,0.0024985629754860524,129126000000.0
Interior,919000000.0,1990,5915000000000.0,0.00015536770921386307,129126000000.0
NASA,12317000000.0,1990,5915000000000.0,0.002082333051563821,129126000000.0
NIH,14042000000.0,1990,5915000000000.0,0.0023739644970414203,129126000000.0
NSF,2994000000.0,1990,5915000000000.0,0.0005061707523245985,129126000000.0
Other,1754000000.0,1990,5915000000000.0,0.0002965342349957735,129126000000.0
USDA,2119000000.0,1990,5915000000000.0,0.00035824175824175825,129126000000.0
VA,378000000.0,1990,5915000000000.0,6.390532544378698e-05,129126000000.0
DOC,898000000.0,1991,6110000000000.0,0.0001469721767594108,130008000000.0
DOD,62238000000.0,1991,6110000000000.0,0.010186252045826514,130008000000.0
DOE,12275000000.0,1991,6110000000000.0,0.002009001636661211,130008000000.0
DOT,688000000.0,1991,6110000000000.0,0.00011260229132569559,130008000000.0
EPA,768000000.0,1991,6110000000000.0,0.00012569558101472995,130008000000.0
HHS,16001000000.0,1991,6110000000000.0,0.002618821603927987,130008000000.0
Interior,1037000000.0,1991,6110000000000.0,0.00016972176759410802,130008000000.0
NASA,13589000000.0,1991,6110000000000.0,0.0022240589198036006,130008000000.0
NIH,15016000000.0,1991,6110000000000.0,0.0024576104746317513,130008000000.0
NSF,3167000000.0,1991,6110000000000.0,0.0005183306055646481,130008000000.0
Other,1629000000.0,1991,6110000000000.0,0.00026661211129296237,130008000000.0
USDA,2327000000.0,1991,6110000000000.0,0.00038085106382978724,130008000000.0
VA,375000000.0,1991,6110000000000.0,6.13747954173486e-05,130008000000.0
DOC,952000000.0,1992,6435000000000.0,0.00014794094794094793,133172000000.0
DOD,61682000000.0,1992,6435000000000.0,0.009585392385392385,133172000000.0
DOE,13280000000.0,1992,6435000000000.0,0.002063714063714064,133172000000.0
DOT,1014000000.0,1992,6435000000000.0,0.00015757575757575757,133172000000.0
EPA,804000000.0,1992,6435000000000.0,0.00012494172494172494,133172000000.0
HHS,16621000000.0,1992,6435000000000.0,0.002582905982905983,133172000000.0
Interior,1050000000.0,1992,6435000000000.0,0.00016317016317016317,133172000000.0
NASA,13950000000.0,1992,6435000000000.0,0.002167832167832168,133172000000.0
NIH,15714000000.0,1992,6435000000000.0,0.002441958041958042,133172000000.0
NSF,3219000000.0,1992,6435000000000.0,0.0005002331002331002,133172000000.0
Other,1999000000.0,1992,6435000000000.0,0.00031064491064491066,133172000000.0
USDA,2480000000.0,1992,6435000000000.0,0.0003853923853923854,133172000000.0
VA,407000000.0,1992,6435000000000.0,6.324786324786325e-05,133172000000.0
DOC,1265000000.0,1993,6795000000000.0,0.0001861662987490802,132080000000.0
DOD,61956000000.0,1993,6795000000000.0,0.009117880794701987,132080000000.0
DOE,11872000000.0,1993,6795000000000.0,0.0017471670345842532,132080000000.0
DOT,990000000.0,1993,6795000000000.0,0.00014569536423841059,132080000000.0
EPA,792000000.0,1993,6795000000000.0,0.00011655629139072848,132080000000.0
HHS,16702000000.0,1993,6795000000000.0,0.002457983811626196,132080000000.0
Interior,1035000000.0,1993,6795000000000.0,0.000152317880794702,132080000000.0
NASA,14058000000.0,1993,6795000000000.0,0.0020688741721854305,132080000000.0
NIH,15774000000.0,1993,6795000000000.0,0.002321412803532009,132080000000.0
NSF,3211000000.0,1993,6795000000000.0,0.0004725533480500368,132080000000.0
Other,1683000000.0,1993,6795000000000.0,0.000247682119205298,132080000000.0
USDA,2339000000.0,1993,6795000000000.0,0.0003442236938925681,132080000000.0
VA,403000000.0,1993,6795000000000.0,5.9308314937454014e-05,132080000000.0
DOC,1595000000.0,1994,7198000000000.0,0.0002215893303695471,127278000000.0
DOD,55423000000.0,1994,7198000000000.0,0.0076997777160322314,127278000000.0
DOE,10568000000.0,1994,7198000000000.0,0.001468185607113087,127278000000.0
DOT,1000000000.0,1994,7198000000000.0,0.0001389274798555154,127278000000.0
EPA,918000000.0,1994,7198000000000.0,0.00012753542650736316,127278000000.0
HHS,17674000000.0,1994,7198000000000.0,0.0024554042789663795,127278000000.0
Interior,1104000000.0,1994,7198000000000.0,0.00015337593776048903,127278000000.0
NASA,14680000000.0,1994,7198000000000.0,0.0020394554042789666,127278000000.0
NIH,16347000000.0,1994,7198000000000.0,0.0022710475131981107,127278000000.0
NSF,3500000000.0,1994,7198000000000.0,0.000486246179494304,127278000000.0
Other,1652000000.0,1994,7198000000000.0,0.00022950819672131148,127278000000.0
USDA,2385000000.0,1994,7198000000000.0,0.00033134203945540426,127278000000.0
VA,432000000.0,1994,7198000000000.0,6.001667129758266e-05,127278000000.0
DOC,1709000000.0,1995,7583000000000.0,0.00022537254384808123,124883000000.0
DOD,54026000000.0,1995,7583000000000.0,0.007124620862455492,124883000000.0
DOE,9806000000.0,1995,7583000000000.0,0.0012931557431095871,124883000000.0
DOT,1018000000.0,1995,7583000000000.0,0.0001342476592377687,124883000000.0
EPA,847000000.0,1995,7583000000000.0,0.00011169721746010813,124883000000.0
HHS,17602000000.0,1995,7583000000000.0,0.0023212448898852697,124883000000.0
Interior,1021000000.0,1995,7583000000000.0,0.0001346432810233417,124883000000.0
NASA,14457000000.0,1995,7583000000000.0,0.0019065013846762495,124883000000.0
NIH,16448000000.0,1995,7583000000000.0,0.002169062376368192,124883000000.0
NSF,3662000000.0,1995,7583000000000.0,0.00048292232625609917,124883000000.0
Other,1612000000.0,1995,7583000000000.0,0.00021258077278122115,124883000000.0
USDA,2273000000.0,1995,7583000000000.0,0.0002997494395358038,124883000000.0
VA,402000000.0,1995,7583000000000.0,5.3013319266780956e-05,124883000000.0
DOC,1488000000.0,1996,7978000000000.0,0.0001865129105038857,123978000000.0
DOD,53688000000.0,1996,7978000000000.0,0.006729506141890198,123978000000.0
DOE,9412000000.0,1996,7978000000000.0,0.0011797442968162447,123978000000.0
DOT,902000000.0,1996,7978000000000.0,0.00011306091752318877,123978000000.0
EPA,724000000.0,1996,7978000000000.0,9.074956129355728e-05,123978000000.0
HHS,18054000000.0,1996,7978000000000.0,0.002262973176234645,123978000000.0
Interior,857000000.0,1996,7978000000000.0,0.00010742040611682125,123978000000.0
NASA,14152000000.0,1996,7978000000000.0,0.0017738781649536224,123978000000.0
NIH,17141000000.0,1996,7978000000000.0,0.0021485334670343446,123978000000.0
NSF,3588000000.0,1996,7978000000000.0,0.0004497367761343695,123978000000.0
Other,1345000000.0,1996,7978000000000.0,0.00016858861870142894,123978000000.0
USDA,2232000000.0,1996,7978000000000.0,0.00027976936575582854,123978000000.0
VA,395000000.0,1996,7978000000000.0,4.9511155678114816e-05,123978000000.0
DOC,1421000000.0,1997,8483000000000.0,0.00016751149357538606,127018000000.0
DOD,54903000000.0,1997,8483000000000.0,0.0064721207120122595,127018000000.0
DOE,9167000000.0,1997,8483000000000.0,0.0010806318519391725,127018000000.0
DOT,902000000.0,1997,8483000000000.0,0.00010633030767417187,127018000000.0
EPA,877000000.0,1997,8483000000000.0,0.00010338323706236001,127018000000.0
HHS,19037000000.0,1997,8483000000000.0,0.002244135329482494,127018000000.0
Interior,872000000.0,1997,8483000000000.0,0.00010279382293999764,127018000000.0
NASA,13788000000.0,1997,8483000000000.0,0.0016253683838264765,127018000000.0
NIH,18013000000.0,1997,8483000000000.0,0.0021234233172226806,127018000000.0
NSF,3574000000.0,1997,8483000000000.0,0.00042131321466462335,127018000000.0
